Delta,Theta,Alpha,Beta
0.5507817099469258,-0.17895028228837004,-0.3652601964397006,-0.5441693020754393
0.7674818788153929,0.1850686724071501,0.019363741640698845,-0.16220047211463653
0.8294817540622924,0.24742443769586137,0.141852966488178,-0.03598916704056987
0.5257265682857889,0.29457366708655663,0.17881543844072004,-0.02316572580838041
0.5597279220673163,0.5703950944248808,0.36483541513260004,0.019015107536251637
0.721689941387471,0.7955618869173666,0.6553088275326171,0.1489286545603513
0.7014794708386317,0.7420001164828275,0.6152757085824546,0.10654520686517918
0.40386466414711764,0.45018406425312585,0.35884093668516426,-0.03430503658461521
0.12153372998608401,0.3981923712287698,0.10641853377600367,-0.19697746218490678
0.3208774090721086,0.30957308729552824,-0.13902097436330332,-0.24884149235532332
0.23560480695772515,0.05331067180893588,-0.06201455568696653,-0.2712337347893752
0.2261426153188894,-0.07618660570453988,0.05146711794844624,-0.23940924682745504
0.08449338613763663,0.1439180051485463,0.0771677994631678,-0.06285679384962
0.12623454337809642,0.12892958907029134,-0.04991384923283911,0.033924679859197046
0.1137198831171023,0.016675354041001716,-0.06810614755471507,0.024016481454698622
0.3279006790915974,0.11118509726165783,-0.16950355576620452,-0.07376150213585562
0.38232299843653966,0.23569517321572417,0.05037265817064426,-0.12852075785495526
0.16571429505158503,0.2990981420511468,0.22858814358072313,-0.05035000807523915
0.2191709978981872,0.2174185065252004,0.19418072789341403,-0.03525942118150156
0.2191587131352213,0.2177173016404099,0.19673169205096527,-0.036711059229729046
0.8792690713350271,0.8632057735239934,0.517103746602819,0.024029492189460894
1.338526244329823,1.313301323295262,0.8031855972009594,0.18867324203163008
1.4118694880447107,1.3963714206704763,0.7555196736088161,0.16849591517094267
1.3391337459710217,1.1582703305228195,0.6076572609983905,0.010848296485561947
0.9353028163981258,0.490369800814346,0.6701266344579673,-0.026125697169363533
0.7307886642934518,0.5733187972420756,0.6384404278419713,0.027288670988839615
1.2397050281546387,1.171874742686885,0.8934569231876547,0.05142072242120188
1.39296372121262,1.330328334681609,0.9480104236698632,0.0643877145706908
1.3862533879236196,1.1548271397046015,0.7140841605782976,-0.01957882282973418
1.2227919323008216,0.8860546486411083,0.5532795096085723,-0.05737025309650505
1.0744062027080032,0.9325870560536333,0.5864735235506947,0.0722376512347371
1.132944003610137,0.8974865469417028,0.5795282067455895,0.14737013676743568
0.9091834237859996,0.8022117337276551,0.4165594438355423,0.033108600182049246
