Delta,Theta,Alpha,Beta

0.7525356287503765,-0.02880049219973101,-0.10759618105606535,-0.5645783061134314

1.0267170357006858,0.7495296363314011,0.3310310801512118,-0.09742701345154156

1.378395044044361,1.1044019752655412,0.5863445726337171,0.16836048614962676

1.3528056747700485,1.1084178016304012,0.4893942753937394,0.15663070866259193

1.242979077918051,0.7880550580830075,0.16514811101227103,0.011974543500803002

0.9058759107953579,0.3010307773147684,0.2895080533393004,-0.03241763551966712

0.9856201007627403,0.8953508905409978,0.5508592841439434,0.05398015307252011

1.2709972091579902,1.216160956906534,0.8026356732670479,0.1949440255504417

1.245301512579887,1.2006104998306502,0.7273191405594419,0.19350809922858261

1.062956345681164,0.8330585346703613,0.2649792051950395,0.1351575186771396

0.6095069987965378,0.4563858035599366,-0.04075855332418394,0.06893235702605052

0.49064851124201525,0.8890441359948055,0.48374481075948617,0.05157563383293029

1.1483901751961028,1.1211379256137761,0.6120934917933549,0.127340054943386

1.2475217679325583,1.1204158408751252,0.4972742575918717,0.07906115631374382

1.2282914745603652,0.8700502244392484,0.1839661989429174,0.07610606328611416

0.9268269465758149,0.3512815687249845,0.04084750433055515,0.12662427771882165

0.6167788577786844,0.08603198421460001,0.09548968767801573,0.136880546121981

0.1786973932826336,0.2945236112246894,0.15819285553503284,0.05016181772228673

0.1008398177896086,0.23595743313704193,0.16860041749536048,-0.010741294060324943

0.10148846510944987,0.08581245410058717,0.07633982919526519,-0.039154210279443394

0.1470096073017859,-0.04089003259645078,-0.0700669997975771,-0.03079487964416278

0.040502066090482604,-0.3232153061927073,0.14713225257045628,-0.021793235862242667

0.32556427962799944,-0.031666103713175006,0.2956379501700612,-0.003453961563978241

0.29603653349304865,0.15876593390782995,0.21635164504263385,-0.018285538250507924

0.3940225709147619,0.3407068588628225,0.1815565556774115,-0.04113436685014728

0.22674078795089503,0.3345876841676556,0.11152500644012134,-0.06314809215918053

0.4708705529488317,0.23990186427493806,0.01267665316180526,-0.03746369042951779

0.4650101406320123,0.17659492279157665,0.13779014837023437,0.04168923593888157

0.32416268347149757,0.19952441239849264,0.05133084296809712,0.052425659621926586

0.08396556004320475,0.3553281266083842,0.2520645585703709,0.039871820597771106

-0.09483473223325753,0.41921785828447744,0.37106594659860503,0.0007407529923005129

0.3623555375869023,0.40370747676043606,0.3652214292402972,-0.0024222563996022335

0.5211601943988722,0.37229674285717773,0.2664232426457627,0.062486642867062465

0.6094003300227531,0.33386369300587954,0.26573617649705705,0.07207447936624475

0.883761511363964,0.5743888279248692,0.31594079109253587,0.01592148501724308

1.2577491072008213,1.017156288702977,0.5753705352650371,0.1106439339238048

1.345876129563499,1.1240530120081043,0.5703888040143013,0.16183221731747158

1.2181858981272902,0.9223565118135044,0.2140270864900726,0.14670771015294073

0.955260290199745,0.37062337249411953,-0.06031936547086411,0.12636935860723306

0.47326758788945167,-0.041102652603870124,0.06574381165129527,0.03418093856280135

0.06576207089145446,-0.04755545647989461,0.055538262396887965,-0.07047862954590871

0.13477629947327563,-0.01802717639013297,0.21172222124336754,0.002760349208002864

0.4027075600126775,0.09277119902332709,0.21712781852570004,-0.012297977245741604

0.7437747588137011,0.7629769157075252,0.2505508617889435,0.06758567272057066

1.1594944525901418,1.048868704572517,0.5029756702407439,0.17718751596999965

1.214998149946456,0.9946756475944637,0.5093363671497949,0.10554974653174115

1.1024619424218811,0.6239810002151291,0.38805343318753704,0.14116320815011305

0.6029495653357301,0.2102619216279997,0.16461275982634643,0.13471946362742573

0.40993928578466876,0.2802502643888002,-0.21393032400717116,0.09076462260530387

0.2540158280466694,0.258881514363436,-0.08552115021517465,0.08636426015705505

0.25235523649689384,0.1452760342771041,0.14082596412615428,0.07566593303939771

0.12017347336832514,0.1427175334082131,0.19550878107400382,0.010258370868282414

0.3145655164050945,0.09645070453935295,0.25631919118110935,0.054446643694964915

0.4486241583315838,0.12215550569589491,0.32671405940187137,0.13952844987320007

0.61757438728093,0.4057023984358236,0.30919631067362197,0.12081280790081884

1.0507712817104469,0.8990814123448361,0.38016295858137267,0.12489457223086654

1.2365181946697958,1.0484684548745875,0.41907247846107337,0.2338679344788337

1.1901306970422407,0.8971053355399128,0.3722859553286418,0.24948350555612078

0.9322860544935284,0.45050444190335537,0.32989395851150405,0.15758200510233145

0.5884797913374835,0.2817455881467477,0.09230980047479799,0.18615870468528983

-0.09623822274922131,0.2933559481993519,-0.012228022832963393,0.12672270704370162

-0.09336142594582043,0.15499749818510422,0.11010354542104865,0.11557916220831674

0.045711152795794664,0.11838459688621995,0.027846576810469835,0.1500317303445125

0.046277477213296205,-0.10354686953938612,0.029536747310360285,0.08662913397391593

0.10740329628941352,-0.2819899304539502,0.07026373403728993,0.0032427921432436322

0.22997223135646197,-0.06729890399776756,0.016333964330903516,0.05463044413166848

0.24269434922493133,0.04016054213357573,-0.001463009123576498,0.07006454642067533

0.23450356507265524,0.09711939704233444,-0.08593201245251157,0.0359751615464131

0.6047798163606499,0.09160278117399907,0.06336080946104629,-0.0020057827429805276

0.8786812611747863,0.7020078552481006,0.23078136897978024,0.039563256806355356

1.2345201990212213,1.054048061977254,0.3098217833074935,0.11387218625234502

1.2459257569145656,1.0608088340886848,0.22977395483901839,0.2087386216101006

1.106803891809566,0.7603060802722947,-0.10648664902508755,0.18984858752463338

0.4864237104362523,0.19318677400622056,-0.32230861446708653,0.0805695425907657

-0.027187024277409766,-0.055837677516524006,-0.09782490169433275,0.03921046501402999

0.5289864656851154,0.08284347447516784,0.0010030832966693602,0.11897340361485474

0.8098169660392878,0.5518410069323811,0.006955024064315471,0.10284419675048272

1.1910510280149764,0.8448126340730079,0.28414781426872215,0.07005371341528796

1.2677812756903812,0.7945165270100106,0.34674072260116756,0.03887877617823658

1.1596416350608831,0.9436201833033466,0.3198975181769719,-0.0012228371571512129

1.1482863630400344,1.0059449546765393,0.23435221353779945,-0.057154004016541325

0.9701178763254074,0.7185120962793536,0.16894863572326377,0.0754923668172471

0.5000710098063563,0.21756344265959876,0.21662568851795191,0.15357510361738266

