Delta,Theta,Alpha,Beta
0.3105014451855225,-0.016748969482980235,-0.3130564910472511,-0.5434961286358007
0.5840765108771984,0.45819947588901216,0.06993441393435852,-0.16795031777152203
0.6843161021719946,0.5714336624123695,0.15631062972729554,-0.03569239259527079
0.8466411321685436,0.5272203458962156,0.21169061153818836,0.09168714780956555
1.0593229441436955,0.7599580445235824,0.32986767750252055,0.15631692278962758
1.0870003603279923,0.7275686704734413,0.44635661189296166,0.07220745948190341
0.8447206023073507,0.47002347885760004,0.351754438206374,-0.10835942253863755
0.494390469971811,0.24461307257885398,0.07660849707939937,-0.03968528400852804
0.6739505563877671,0.29030082041371047,0.42165586019041323,0.045073151126301135
0.8698839015764679,0.6873591092463222,0.6251824553354259,0.20524820650059283
0.9330168856946007,0.7693233658383841,0.6109633752343182,0.1874122303538313
0.7902534820929463,0.5731766905344968,0.3145243544416191,0.00829189946510769
0.8153024492370854,0.6383932005870728,0.3564191113713882,-0.0628761542237134
0.945349441933379,0.7799909809413778,0.5085497889385827,-0.037521039375650246
0.8866004540005108,0.6418928954710155,0.36180664752052455,-0.018263715107634717
0.9373277795635256,0.6800116202516987,0.40778284736326137,0.18659753617365069
1.0081496056622556,0.774578226846221,0.43109356910131935,0.22916885782049026
1.0650082692490828,0.8220812800806122,0.25835457729317457,0.07257766826766096
0.9754315426418587,0.6563078465526907,0.25270757946065237,-0.06820528637263293
0.8186584272368862,0.802206379291563,0.5415871830122065,0.0928691311117375
1.2229857673194908,1.177811178360275,0.9353904016978494,0.3626200975757481
1.3072291042181765,1.1985648110802352,0.9983131365763535,0.36497319670632616
1.0986337112446452,0.8910618920100579,0.7358568794413157,0.06320655829261149
0.9315146668090825,0.39661568625269417,0.158104867145744,-0.1912029039532652
0.1757534133430085,0.10820033950550624,0.09125473429662498,-0.09046137319047877
0.26780032006423765,-0.015918080906705906,0.3032816603960094,-0.09190391889125289
0.27295690917803284,0.013129982154583527,0.27099697756475577,-0.1790616529708007
0.43501389147165853,0.17126855060095506,0.18450481808851277,-0.10865076585450073
0.3594999030659996,0.30367590184575133,0.0763739948681906,-0.09662959405255325
0.25048619845968007,0.2251878982830089,-0.005676068735707053,-0.11294006027330802
0.23757515634550583,0.12009430682423217,-0.10034242675567327,-0.1468894748154645
0.23057983970466078,-0.00950837746907391,-0.0445214884287142,-0.0957246202992981
-0.012791669037970521,-0.042580780639849394,0.02301321508778836,-0.11324639913047847
-0.457675173048607,0.07124942868617558,0.05488905461819799,-0.1632129333563393
-0.2742656721103867,0.017640194021031733,0.08215236561481416,-0.16367127984585342
0.08290185461684854,0.06415771609822299,-0.004382454704669661,-0.1709252968624676
0.10303697014685949,0.25887909439246465,0.03960536845360189,-0.04328376764327313
1.0775119831580946,0.5443924695676888,0.2520260951088804,0.07633664256979468
1.3347891385732849,1.0502416922306976,0.5954271616588299,0.07187504534877943
1.5651105806730312,1.1547653915549674,0.7415343292205747,0.06837641433062276
1.4638944936212939,0.9193508367878567,0.5766048819161586,0.061619519689510086
1.2252443205144032,0.4213012719010488,0.21620682255367454,-0.025264465819901917
0.6888306204780196,0.3472224759944956,0.4599827306852033,-0.014343639611231758
0.6025964976625594,0.4861973640911398,0.5655299699554958,-0.0012487183513790019
0.584168693052383,0.5411959619731962,0.3674099994902629,0.02475140054057582
0.6532867252177141,0.2608583874188485,0.29743864212298227,0.06122919895935051
0.4481445682669633,0.12988764994616162,0.38759369993111203,0.0991807933299142
0.41664414989719323,0.40130345505974396,0.34247311500834454,0.15088834577446744
0.2925035649754391,0.47182139260350436,0.39641843809027527,0.01706953648663545
0.41881392249580474,0.43423019402772545,0.47997767671778757,-0.08032515012369602
0.2941126874946572,0.33749029558786764,0.575659441854129,-0.1305805826054457
0.397058102547001,0.1915346466694895,0.5639293599404392,-0.056634291497676945
0.19548784649666673,0.18562364870079193,0.4739942137993385,-0.04169072033124491
0.0706948269807729,0.34952546209161894,0.25160368154163776,-0.05169886359664519
0.18064804149835137,0.5056572193158487,0.09164739493967534,0.02359504925735631
0.2844294863595626,0.479513564260259,0.1813173163677204,-0.02376216392305326
0.2739837576005523,0.1497854817860481,0.317879637703813,-0.10398629189789227
0.2290770332049257,-0.25803674365044643,0.33916878832311953,-0.07805115520774054
0.4438611010739331,0.16218905297416605,0.4338179291244682,-0.08204943852372493
0.755873903202393,0.5531371526593986,0.4229288172768814,-0.1406559795490322
0.7575135130668914,0.5713467697510171,0.4583928596213183,-0.15720750595215752
0.6214867748777927,0.33086941045733476,0.49254335698849155,-0.06515019835752511
0.46137256535140214,0.3785756949261688,0.38546974059183936,-0.13585616892766092
0.6576049244114465,0.613284609377869,0.43834988417877196,-0.13297684987031738
0.6103140180069844,0.568829097798148,0.4569199226131245,-0.10595088843204131
0.3039491431015648,0.38372415429649503,0.3943420523189716,-0.15628765715844176
-0.04962012236769639,0.2576965913714313,0.40313223831842465,-0.09469349333112242
0.23592320616659676,0.20131877059355727,0.5376672180638961,-0.1370053084010151
0.3343292847134804,0.21771885816294753,0.49365623875473036,-0.13872979243203618
0.2939577344967501,0.3789451444658022,0.2559083391246343,-0.03908254270706998
0.42419567801977837,0.30537032272233083,-0.0038300147338124558,-0.01116011533223928
0.5343155615464004,0.039100179192748954,0.14915350842762456,-0.05837618960696601
0.6732421699654444,0.16366428319604628,0.356809728066472,-0.09780591346665422
0.35626132656847176,0.236374711223839,0.3101651520265296,-0.07344965413611002
0.1523741346628889,0.19239481818709528,0.2879997144439612,-0.04810180582408737
0.36683146978326703,0.30505554821178593,0.5068412391709487,-0.012975705231056327
0.46891814524418207,0.28474240090294917,0.519854982980211,0.03832321086497581
0.4910765031911718,0.3748862310079525,0.34759358772241533,0.01854803504582473
0.61949997030715,0.3677286458432914,-0.06754770744569516,0.009131061648808928
0.41402452333088285,0.04846895942233205,0.24225143431402246,-0.05224792983994967
0.30154711274640317,-0.10036185154928755,0.36761694278759544,-0.10366601368500569
0.19924479727348066,0.1059385246177366,0.33690792722423896,-0.12620824122242297
0.1329392197078707,0.2868974850373657,0.5115640870369953,-0.15376362593726853
0.41828530742645675,0.40105277611431006,0.5784035329354841,-0.15250067901803457
0.5140965606555992,0.33168169525531116,0.4305926653303329,-0.052759974755917434
0.3236449592090232,0.04383552489667559,0.17920294387605717,-0.06929469988522444
1.1118636997582871,0.28095517686738797,0.1929872931735836,-0.06676391905130087
1.3294106354729236,0.8533747653277507,0.3270491673366201,-0.045752624411002855
1.4912819556657257,1.0099565770139693,0.3701329169057934,-0.022448849370448665
1.3323521772118747,0.8537909058706991,0.41778280819449004,0.032424156482224714
1.0580153925419056,0.4304414504454505,0.4452768562410237,0.033082021207440776
0.5500441600006253,0.10052042765934288,0.2781284673484931,0.009475964040771275
0.14247772627072108,0.15481227354076985,0.19047832467812684,0.007638445489016761
1.023797230073334,0.9815175758691946,0.5584342673143008,-0.02767762049994249
1.2870560467779548,1.3311585308410454,0.8283571787912858,-0.030379325227378254
1.4269332538035464,1.3331850547337456,0.7849565650649999,-0.04809010295096378
1.2269265887758218,0.9976928429215101,0.4700064370240774,-0.1213237159980782
0.9907140525411362,0.3002854736283387,0.2934348552574883,-0.13246251664173045
0.2256336087768141,0.09831707189113906,0.1294039600371895,-0.1197558625579305
0.553108429452403,0.4077517515824026,0.18896445777874332,-0.07631085195611108
0.9752929771799494,1.0454780284024474,0.6464787214870182,-0.06043471546060294
1.1664673696769197,1.2623931977962144,0.7836171259332694,0.020577320034995236
1.1234856905078126,1.1640081810172938,0.6204222399385199,0.037576284912482695
0.8117497734519064,0.717211631107626,0.4106275379561953,-0.006518079225984954
0.4772648015852972,0.2164189449192748,0.4375981281708028,-0.07933530245547783
0.27893255540950673,0.22460177489591962,0.46140701077188706,-0.0796750980937658
0.12307998513625941,0.021910663793754455,0.2924872182702961,0.04745240227152153
-0.1472098790625409,-0.08140291432416712,0.21526608911335116,0.043126270986255114
0.4647354037964054,0.4595384673075493,0.3940707152438381,-0.06823764392669589
0.9765119135400966,1.0821135342614299,0.8267691151129887,0.08552874402965334
1.157549628293393,1.2786855208709023,0.985357646563202,0.1580159239926432
