Delta,Theta,Alpha,Beta
0.4986227722092446,0.3905433991109502,0.2611478895371729,-0.08190640805511815
0.7786145898764981,0.8616657210945946,0.6832559818749281,0.27989967694342227
1.080896035410243,0.9468198314412899,0.7416364448145814,0.2825572978261202
1.0104927814086269,0.7179685188975041,0.5050283657872416,0.02396376576248484
0.8262589592575236,0.2830239641848216,0.27036713912115234,-0.0009779897590694805
0.35375287486899865,0.21449131267589902,0.21241238221729541,-0.01245671614863929
0.5078466473666606,0.22253830977770223,0.21686518565564247,-0.007967565843136636
0.7635298291686216,0.5985016628007317,0.27098713802834173,0.011951746750410627
1.2145420014991084,1.1182494016706224,0.6743982883928454,0.06812833159816627
1.3632758490907821,1.282988415717299,0.7937828199898597,0.10550773695509057
1.2027608380791084,1.1264247646046792,0.5853272723979414,0.0598962596846163
0.9451113052094265,0.543170222162564,0.23964741708389423,0.09566832068616439
0.5793736715898217,0.06488037851794105,0.08440825878260085,0.06498043178011052
0.7281550627062281,0.09784897118257906,0.12018719483413884,0.0472136185205267
0.6852615594218621,0.3775635125318224,0.5100932064026672,0.2028718821686242
0.6855955201077236,0.437229233135996,0.5331652528740491,0.18159066081814157
0.9967612319413389,0.8176229285492675,0.3681711900414833,0.029954229816600862
1.3254308337359786,1.1533746552596185,0.48287843449555046,0.011140888688197282
1.3148131203492093,1.1685213222641349,0.4159079356839317,-0.06805389438006496
1.143522798861507,0.8802292829804677,0.16914931738905217,-0.022484761379849852
0.6130833978388643,0.3450750054099713,0.08596588269400954,0.05836423095232789
0.4362601424509273,0.5212239394821632,0.2362739557388054,0.17508331007523173
0.4832434186278278,0.6586521534391161,0.2739439166085608,0.21589125851647348
0.31103482939649013,0.5307653103944047,0.11454854301793173,0.13641961836477615
0.5918078005015698,0.5625965820579931,0.4509583233978588,0.19111126127410147
0.7903855064480946,0.6195041339010801,0.48362407881776326,0.18734391234281106
0.800849961019373,0.4164135429390371,0.12946575636655996,-0.014278404855786775
0.8960206842982333,0.9030799463302404,0.30237507217614173,0.03229983601786097
1.2027828216940242,1.2379571393800486,0.5984704571995543,0.15152618364931045
1.2110133334634512,1.2359999167290372,0.5487084132913785,0.11888407343351852
0.9327262730246255,0.8993055606650553,0.21314482583762479,0.0757963167057938
0.7667449221421746,0.18989634910045597,0.00014877639783832035,0.05807101243108476
0.6695100417516062,0.12471833001538027,0.06375744658766466,-0.03008527249752052
0.6657699985111043,0.1413192473444855,0.127267049372569,0.02143574288816054
0.5909045211740267,0.2832625073546277,0.0981403882836643,0.084704079814407
0.4093627432729747,0.27717716850233404,-0.1481575717575987,0.06872423268580706
0.45030509128580537,0.1720304859447095,-0.22377082411137175,-0.07404424096246566
0.28170467725917875,0.22480711965780678,-0.03601357347505283,-0.2086514249359308
0.13404713646580643,0.09180526666514151,-0.029224614709815508,-0.17225820294414335
0.408195171224564,0.053232242657405206,-0.2279105036695318,-0.10035158354631467
0.41920593511499105,0.029424368230606523,-0.07107960148776211,-0.08629300948270542
0.5058006956795797,0.006235543294537021,0.02405614329696187,-0.06589270843146601
0.3992348755163674,0.2232056478431723,0.05227089399379767,-0.006382095094990067
0.37224794944452355,0.1888097132296474,0.14200866005659574,0.015370055898098783
0.4412776439542569,0.09912178680683095,0.1628047979866022,0.01955133355171141
0.3143651451250814,0.21288455451015922,0.3162529670740277,0.06828062804650445
0.4348457321181881,0.31851090976885293,0.2521425583138903,0.04335543504957671
0.4728787105772056,0.3144402607674009,0.19634230195716354,0.02686072983044487
0.2297399021276842,0.25945388246080275,0.1625939789154319,-0.009672003428460321
0.41140149989557534,0.2517413178435585,0.09591976458543816,-0.07404255405945036
0.38105744896217153,0.2497831303036328,0.2222744374112924,0.002662610045468352
0.49414015428641833,0.2642764884366097,0.18510844960187722,0.05137511258433716
0.3521177132955471,0.16375265668472597,0.08774787886961506,0.07492791706008564
0.40277754387065284,0.2816289542045008,0.16736480027817777,-0.0014140494966002552
0.24880100438999947,0.4420054326661896,0.13740383135312384,-0.08955186641184808
0.10477231716169966,0.4488619171761487,0.10043780319987401,-0.12269849890688632
0.11294483880487864,0.22939330263933946,0.24505018484925012,-0.13468302153075007
0.696205168518132,0.17504684154573527,0.2824917020411523,-0.07719839843863735
0.9068272817682866,0.8456259769255583,0.3937225976972873,0.051809925218054914
1.1840967035848438,1.144105579446938,0.5676240442931341,0.11478299309130206
1.195980965005414,1.1086150314494052,0.4978669674093795,0.11375332643708025
1.0281836017151846,0.7102623268862552,0.3306157288463234,0.10537113128826249
0.6944730506943071,0.1856996540445268,0.1522430005212514,0.047386117439615516
0.05138442287477846,0.19436824057656218,0.02871021387596779,-0.12442641288763377
0.34048309797098486,0.06370830902464816,0.12985332859086268,-0.14079437492551905
0.29490214072056126,0.2161328508418518,-0.01882354863084753,-0.018658192764198646
0.4363507975436812,0.3650656980491846,0.036397399217781005,0.07849567720608089
0.485531183439099,0.4093765081485388,0.08028063189090956,0.20128265627794645
0.4282968925042563,0.46519910695455174,0.12671568419462584,0.1925978378487018
0.7872746163560108,0.43776078171884797,0.29966207155258584,0.20103671121910702
0.793007264556436,0.3210256854086711,0.38419989730610815,0.32416660134805464
0.7490910732791503,0.23506956258782388,0.39620529974820157,0.34636339738783994
0.49490934693722355,0.21322138882310432,0.28036675966989916,0.2802548958020527
0.17036699076715822,0.265983066934103,0.00629748589374691,0.12782961084559172
0.6376416291307012,0.12285845083365057,0.12163273447846584,0.04957276117095712
0.8694513969587649,0.6118184045327969,0.4559341328078701,0.05213506903876694
1.0951703522857588,0.9160488256090878,0.5344625448348744,0.09934428521917034
0.9320429046659309,0.8988925619226751,0.34637952615804357,0.040628142174952746
0.8667226461955908,0.6310603825712915,0.18365768832290916,-0.10272966186586963
0.8572854766299315,0.5112885365531548,0.08662646665954542,-0.05454491453146221
0.5681905947586097,0.31658735343006106,0.10208079225882784,0.04514456479749553
0.4248152781911289,0.12697762576662525,0.15036292432678722,0.04112607318574867
0.3092997409284149,0.06688666917596152,0.16471415413104315,-0.04273022911889746
0.4122984206736066,0.10697718723411447,0.1608996490221975,-0.08228556673469582
0.27502826548910414,0.09440816207036688,0.056706653246187004,0.0018163611693956731
0.5100325964022157,0.2298809941496168,0.0710068692396365,0.04123883515112145
0.5174219756117067,0.20238636065545976,0.02372978428463381,0.018278807402374243
0.5951115132123639,0.07871655694894536,-0.02771097932628022,-0.07186839816320292
0.6473693015038209,0.15586397967412657,0.11372429313971834,-0.15334673649869698
0.5526544057437078,0.18118218790598103,0.04904369388922507,-0.05145724968308655
0.34979290310614214,0.14729949665987896,0.04014464811779805,-0.04326416771677608
0.4151059893705142,0.3832481865387515,0.1775186471050419,0.05360784114483181
0.6978167119577047,0.5864744093909285,0.4086006760070745,0.27384561535253044
0.6723376658655366,0.5461109941987107,0.4059814837294532,0.3255920355384243
0.5484809712269441,0.3063200849113091,0.3431738990719859,0.24553396781686904
0.5621657406420792,0.22806732812675068,0.3602948175937319,0.1088456818895697
0.417959014103862,0.24192739907956537,0.24354120926449724,0.05109175365355537
0.2937912021500546,0.1412771910286469,0.2191603070124711,0.10279699353618361
0.41209206118079383,0.008760839437020497,0.18576545284331422,0.12519319312706156
0.446694539798018,0.013681672395452527,0.18720406641108303,0.11322167233816928
0.5305751987176419,0.09938151260933681,0.3564236623331633,0.10215326673317368
0.5630461722601654,0.27370099095707723,0.5021472937001803,0.05648221315040346
0.6017065320327881,0.3115593784734255,0.42665696670456515,0.011566668348430615
0.47634164690929326,0.11275987496438669,0.3506824438287307,0.050382496334573625
-0.05382230100855435,0.13854976473934663,0.28351365926761596,0.08674200507470824
-0.17858094920723475,0.06874903305374794,-0.02457964457714517,0.10174826654024771
0.677468290453356,0.19163347437301728,-0.025003358080787404,0.041156190401914344
0.9339214263008526,0.7736439049878534,0.24115351626944456,0.07407589946869805
1.2299592441502776,1.0678683659806187,0.42219640957576526,0.15232206329313364
1.192764951008596,1.0267431972677759,0.49882619444383447,0.21545910641540406
0.9415924289658001,0.612407451170936,0.42437029237840274,0.17522297905669107
0.6075688004229486,0.25201572883078377,0.10633376793393169,0.17682708501262462
0.6739096876565869,0.24301054675567724,-0.009529355671998986,0.20245813168854188
0.7639516563370795,0.1183658364349804,0.10046714523003125,0.17440964679753915
0.7043747162105268,-0.08983618669993493,0.09296601547809696,0.1882541463511174
0.7370376237198751,-0.09413454769320939,0.06579977555434983,0.13635382195871013
0.4561080533260521,0.09679395415922147,0.017007585362514795,0.02550104063005497
0.33306487811162977,0.2924946409204851,0.030117239269849303,-0.03623426479957792
0.4976889908536906,0.5294374866658182,0.2660660304939514,0.0651764027583048
0.5264950116766565,0.6279250209804007,0.3640750214125856,0.16728181312336501
0.48826687555698567,0.4335441911674531,0.18184859679694532,0.08577674093501561
0.8782093639791424,0.31392796758218156,0.06988996460343036,0.0894462223996511
1.050238317906406,0.902737729810852,0.0920927965863716,0.07066684297567179
1.286746516386747,1.1375427031092826,0.13115556582977866,0.04624282483901296
1.218037606938486,1.0738169475771298,0.012712654374027165,0.06213839964103553
1.0425047971666717,0.6889428865777719,-0.012074425816107482,0.040734538831027844
0.6668338064625103,0.13902845100160566,0.1298024118345731,0.0027751980285908692
0.3115369431656014,0.08633559520528096,0.14493380392615726,0.0179313867848057
0.14820921440406787,0.10682233476891433,0.13472100946056204,0.0076988199550841645
0.08180842430370397,0.1485068169749868,0.028565095962466636,0.0114026777512441
0.2189340897793355,0.14241612441710458,0.05557730934106117,-0.04657422259145155
0.38062889798026656,0.21754486691801422,0.01660985315420951,0.01576960021341493
0.7311319626887516,0.36013408339582004,0.08537113607664323,0.09744461316035356
0.7782820480250802,0.22983779661787956,0.0031265815988302612,0.01028996867946542
