Delta,Theta,Alpha,Beta

0.3062743289429605,-0.3303102108502049,-0.5762237065459357,-0.6592727773494329

0.757119092343691,0.1595312328371113,-0.13669150493600796,-0.190864409625752

0.8642459745860627,0.26105662975955246,0.19953576859831443,0.02621847758381444

0.7895908612056884,0.1420775656042964,0.28082114622907917,0.09359557463214072

0.6501204188501531,0.31844451118369776,0.18569463875603157,0.04335295052250167

0.620098654520677,0.6873694675381461,0.27198520678821053,0.03064485996033997

0.7851981952370873,0.8205888343726824,0.3950486120715832,0.10730531286158261

0.6378732958882701,0.788877791045869,0.32336991114382246,0.2820732510780905

0.5994250238229955,0.6769801522798413,0.49012127390265925,0.3333334483357188

0.6790223647833928,0.3523249113880759,0.5427445750291362,0.20152201342240617

0.7463967581826181,0.3767780674850664,0.5071922129137328,0.03791186621234503

0.41029538250483083,0.4052439873554526,0.3894276308619871,0.02124891899478445

0.36699897522757097,0.3947628882615356,0.30906212178899467,0.07691720141357013

0.08117480514389452,0.21552459248296454,0.40657924621329516,0.11885688690701142

0.14979776973971748,0.027812780281603704,0.3566105543781444,0.1928300663967985

0.18808123430263543,-0.07607122623173061,0.11302578439215238,0.19897914349618137

0.007849425175496808,-0.08865678746635358,0.001151510960126974,0.1688247667335614

0.03247345264541773,0.03334095421204754,0.05577294838320469,0.14929949036097878

0.25157454140406454,0.08735836326395452,0.03502543660605354,0.0752389547181645

0.4575421314598274,0.2177328355320985,0.19744708835731337,0.13157687765589707

0.5848063399742448,0.49223161028219253,0.38348289976779665,0.15668819070907455

0.5374511474367234,0.49634243786780247,0.34736711259550845,0.04805738622850476

0.42895992489680257,0.15246462861781224,0.23146885091087432,0.047542736702635084

0.37180665002762514,-0.3400637135747522,0.09403375661089139,0.156321260454424

0.1952659953848121,-0.1017946556179274,-0.17459504201234236,0.17533402177900792

0.051128675650646126,0.054394170775933205,-0.07212577156642407,0.1304583114337439

0.01269339877170944,0.07601870287856641,0.12713297215314415,0.1175999735712696

-0.037898935211267554,-0.09778016447747774,0.11468226934048821,0.20325211742603375

0.02194748585589318,0.06295671384607436,0.20636011608765903,0.16460258052640686

0.21891816179531295,0.0977205306471583,0.29194873338318145,0.1043332314584524

0.19636230894854653,0.034388946566201936,0.23301904282818853,0.1385086686452086

0.28958099711391344,0.008880987616827637,0.31959558695093926,0.10693469212178122

0.13695625903175024,0.05269090842252687,0.3146812431370022,0.10531770460349694

0.1636385911512403,0.15858969477662574,0.1762154424398755,0.06946931753578439

0.16717082204110223,0.27770477059898024,0.02401813138192709,0.15386785802742625

0.3524755762659625,0.2892811104669624,-0.0821867530330965,0.29854936581225144

0.41785898338338273,0.19255822291627328,0.3049905085223618,0.281200328663981

0.24115871721594656,0.35826214129978506,0.46413441171432124,0.17772187067440479

0.4414003075243977,0.49544176251221284,0.35589284807326366,0.060009314796491825

0.4433465939744835,0.3508182300317137,0.07207728523523661,-0.013287103890448185

0.4763211119221835,-0.059187365453351355,0.19103385226844327,0.08752456486090658

0.10698550114801783,-0.4945715512828527,0.172214430881305,0.3159224904470427

-0.0404069135390217,-0.2374287868836776,0.1976482617433523,0.3075868267731919

0.10441346082686553,0.04692184113395538,0.07014270847744591,0.18767202002238695

0.1890474790015913,0.018742140081276143,-0.2564816836087496,0.1324477080208652

0.2757652508186382,-0.03446069863375555,-0.19016864038311565,0.11598818549143201

0.24979929254587105,-0.03564686061763756,0.07190057622398749,0.17694948772982524

0.433321091314653,0.07600799324150671,0.17308485046909877,0.15196587630391684

0.4732927511245278,0.16995637643173675,0.08191247063020352,0.16757307353068454

0.36363644213532,0.22792422433413198,-0.0508384710921305,0.09960933237365731

0.21615549625085315,0.2743004187010508,-0.04391279701256175,0.04792228861715118

-0.014074154657350003,0.16349685621505367,-0.09040770641577335,0.09227372865900856

-0.06387995514748743,0.11468490376913383,0.052756437555599694,0.07398805071597904

0.07769934973815337,0.17896761076089382,0.14927743712945657,0.06254395738138056

0.01810555514763853,0.15330157584909168,0.2467517539582304,0.03424802578746721

0.08523181327501636,0.19986448209863922,0.34022730484633706,0.06619292303334648

0.26795934044782665,0.3370579650094178,0.3127011546799863,0.20350237119921258

0.5568233487638142,0.44286967295133356,0.43556578180762684,0.22359179034206345

0.8052284008759948,0.6779185366168157,0.3859761833675408,0.1367621574545149

1.2119385721057863,0.9810004006958648,0.42094862457367216,0.1626368372642838

1.2511306388981613,0.975948396684448,0.3692209899462085,0.20412415643797346

1.1965247911717751,0.6602166375932135,0.1694831053958081,0.254838491652748

0.7477197768801972,0.3381574112710516,0.2383576350321664,0.2630332564429871

0.5825797501500357,0.14268665763153546,0.2920203845048705,0.23632660869866118

0.2719287939825473,0.18179769788442632,0.27771348145197733,0.15257034170417638

0.4554756085729141,0.197042080758095,0.23643563785247168,0.0895532192615091

0.34967316726192155,0.1637991668731236,0.19594010692089595,0.02773116762597057

0.37725470102543124,0.08935888790990638,0.22331764394098497,0.06779968703245609

0.32083753501540285,0.08687049478203464,0.31585176888448807,0.228139094471211

0.406827388026527,0.1408872883531212,0.4082054426214926,0.26622408467261544

0.12175169198518175,0.09541991012657872,0.4170122200784373,0.19844818426695243

0.252417682169444,-0.01931512810415268,0.3638944211046617,0.18500658997611577

-0.10840971602128471,0.041152474889629635,0.3159833456114999,0.11705034426811577

0.12905642085700422,0.011683809921235824,0.3272261349247202,0.0874663938728002

0.13026370560123063,-0.004713872141658115,0.3391964507371411,0.12218470371941646

0.08019397060858158,0.05303043866598248,0.1488006415923743,0.10651343230541649

0.16615518033221247,0.08037251885823174,0.11817057870067826,0.0485813844597616

0.294684664938205,0.15938298388217254,0.2069452314572958,-0.023170731620823812

0.11544601691724793,0.13540896344090553,0.14004427709753048,-0.03808647302784991

0.042119930424332624,0.23362051190608807,-0.02337358338985625,-0.05615819891068827

0.25017863613370706,0.19317493199001384,-0.11887798474718742,0.034597663518914135

0.35310695525716046,0.09193277896919155,0.06485184762816248,0.1663362139379479

0.3129099383327546,0.0197584583958365,0.03314697741879564,0.17592268273613113

0.7281217415190611,0.35534980527230353,0.19502485421658555,0.050434760180619626

1.0669074390033433,0.9895918299373394,0.560506420154361,0.009789119110782563

1.2754692380809187,1.2109495586739094,0.668646442419888,0.02251614215488624

1.1954991572332856,1.1041824936546765,0.5030239927363336,0.03595610230422727

0.9745077011963162,0.631411906194737,0.27795945685548945,0.14886628315967676

0.5430155021362031,0.3348996109291609,0.45181825467384096,0.28158090245689177

0.1330328383211456,0.34138150944073314,0.4849301727447986,0.37172754384080164

0.2728927413805236,0.3760131871667285,0.37264730088219367,0.27050669284504103

0.0906173675816168,0.3878285404494675,0.3159661773341099,0.1615420936393487

0.20437356402068013,0.2623764458827984,0.3278667616763702,0.15680026182990767

-0.010599674543567443,0.16053172504840468,0.28097505671359013,0.19321682394165224

0.12525750196550112,0.2153762572066494,0.3444566983581124,0.1397709240246599

-0.05197166698081133,0.26034788629831873,0.385021669066662,0.12388183788416572

-0.23909862386009595,0.25507587359367967,0.4645888122701872,0.17677609287008622

-0.03293565744339216,0.2405753215359037,0.37285571570087356,0.17263254337119066

0.259452541240777,0.3669789379114812,0.13598706172687927,0.05281754355212106

0.2342442658708675,0.2545787810817257,0.12386979202753962,-0.004230146050366959

-0.061518463038284434,0.1198840940606225,-0.08779392158173736,0.14855989716240345

0.08212188197841148,0.05230411085953845,0.013673195642505891,0.26316782216947665

0.2814629009742015,0.30025559016340586,0.26775847845104017,0.2660213112709781

0.5162894187113681,0.44016707313056397,0.3570294025704599,0.2646300858686854

0.4728820129873397,0.31802083216638394,0.3356085165754274,0.29404174109001396

0.3130143391500676,0.25432012249087443,0.0956836553722735,0.29777369820196364

0.1816131806980384,0.20858701026874407,0.09484918938111758,0.1693314890510013

0.14909909489137896,0.11352616456637202,0.43049334766867814,0.12792953628064002

0.039991035152828244,0.23688241439999347,0.5751508484332619,0.2122028063680663

-0.03990057263385074,0.19465895979437384,0.5984961787289703,0.18605531709493764

0.14001959404995315,0.13643598148721814,0.48135495251931015,0.17258892883447677

-0.0005178573865692098,0.11225138564560701,0.2101622542231408,0.13735277280647654

-0.05683931379276738,0.010690116551105942,-0.0380592069026211,0.049563468747894746

0.09815557661417801,0.19891323029657304,0.21326983002189714,0.07672585428312745

0.3524578552818674,0.23625182002069645,0.31211729165794216,0.15549738368354024

0.25199747041464876,0.23414508020959124,0.25081019615002853,0.22801420806233066

0.38554977177975386,0.2766682423885999,0.3584357711714808,0.18423052570887696

0.08642076928825339,0.14272059707841137,0.43181360484133174,0.04745900385880986

0.15456739476564424,0.026330170178462037,0.3759893111645552,0.027211936955814413

0.1869704761144789,0.04571331666448829,0.296474510487653,0.1296532011547554

0.2800838371396685,0.05746850750618974,0.15612367072249614,0.10919312167960739

0.14362405486305907,0.2850567355851967,0.2055246297382456,0.05156111417348579

0.20374472703958627,0.3553765630397796,0.23962313282799763,0.07252620312416262

0.14784439687685177,0.35775452967920013,0.01940163622825313,0.11702207831708793

0.4532903279681875,0.35970199251050894,0.01653738822725602,0.09116739472308505

0.5593555982468692,0.5196892409265534,0.08280663793087438,0.058945871902810025

0.5180487035216592,0.4784251916909193,0.10147465711811615,0.14558192730659425

0.26764756417068225,0.16562148037130522,0.00039674035098919824,0.19260504786197552

0.32707524940718635,0.11931491169786164,0.10095713372502327,0.1315171146836783

0.5009385205543306,0.0899920917600958,0.33967818096566216,0.0897558580299999

0.46695203258670415,-0.0011720318714087794,0.3370693466852498,0.06125998811850403

0.1408943353497568,0.021421783503407087,0.3142107082820778,0.14287894265991236

0.2706892664819049,-0.054055260604657346,0.19059594277710692,0.11655648141762909

0.29996690859606623,-0.04295058491346711,-0.0150282540415393,0.15364622023805857

0.2184726721429282,0.09529368369965861,-0.03126549529322548,0.15307592700296233

0.22460610497475825,0.04923155318078801,-0.07415360812643293,0.11072594460226542

0.17822262709260056,-0.049599931195962975,-0.15440625634762567,0.17458764476856606

0.13596053925464607,-0.07661642116065917,0.1851453603199889,0.1501377657329783

0.15253812690294416,0.07928149570222673,0.24729079871875406,0.1382912522423001

0.07163290832040693,0.20236838099760376,0.08569817596289017,0.05164136185354613

-0.17027517619816654,0.26873123276998845,0.022991531578838917,0.037182386677815135

0.13876918169727456,0.24462344982467865,0.027106235749685927,0.20935742117814068

0.3122024196513667,-0.028273490256387222,0.06336613249985305,0.23577952694992949

0.2693049407695399,-0.14114912179512948,0.057986983295452,0.21909403155615953

0.09786476414008169,0.06429149096571161,-0.02495575174038808,0.2774341705650411

0.08856143162733734,0.2180801590221737,0.14755254318632052,0.2936936040017279

-0.13416659298266556,0.10334603277858907,0.352127820055399,0.3101044119477599

0.05536622057575211,0.06028027374265712,0.3821028673382771,0.27777722653762377

0.1958799451596073,0.27574155663578187,0.42071119106800825,0.23549961092289703

0.03605066638310913,0.40051719226869875,0.3519834289922931,0.19030976152598475

0.01818637607054603,0.37802790005526377,0.09350931591622558,0.17244563569427473

0.1013303046126739,0.18867493540338204,0.030554841171067434,0.18446125608159597

-0.1464828065292195,0.08571980563569558,0.22477238979404165,0.13929102086339018

-0.1635324789903814,0.12079690838546098,0.2653477436838878,0.1389125939264146

-0.11554577341655131,0.14429496414337176,0.3087781176714178,0.09114561393948142

0.16193886084294964,0.11819006968036898,0.15991698337110735,0.14903244139087934

0.227516239720542,0.15689029043826927,0.022442344056052627,0.19575583673189018

0.08535521152611258,0.10915324546603042,0.2775527610328533,0.1167071490434659

0.1154814804712951,-0.04203476446239472,0.5720665091114946,0.09327701810748855

-0.017537168864140806,-0.09073518193556462,0.5455015408542071,0.09892548768539028

0.13080650723335635,-0.09136614316215484,0.27184031727418073,0.08203218272779243

0.11933336251993704,0.015868240296478587,0.018579075614090952,0.16844974125230122

0.40119726678186474,0.1983063624289794,-0.004700905988515646,0.15333159911124886

0.4557898955644603,0.2254712150214646,-0.05128302001793542,0.07008254756189888

0.2031539166366678,0.2139841612077721,-0.10713444747414974,0.03192398523692022

0.3358010292397194,0.25401966993832276,0.011409785677168782,0.05855995618160381

0.1240051381473265,0.3357307518172132,0.3213603789098562,0.08541353734030258

-0.00718264048973662,0.3162321484030156,0.33772474891035675,0.13857950563721178

0.15661143604078032,0.11063925824444597,0.047686704303476726,0.12748122191150685

0.23280726767748738,-0.08680781731139012,-0.22158394933261844,0.18684068092913908

0.18901525837364574,-0.03026085235092197,-0.2728007978912527,0.2127331961937923

0.3737924431811059,0.04512528935332108,0.0409223528743296,0.13125065478669026

0.2229679545397895,0.29550494043262027,0.24253245659832842,0.09788528528872589

0.261357952386076,0.3343850074739636,0.15437762937895483,0.14263126694142866

0.14433096862241124,0.11430317213578033,0.2480262697732637,0.12173608943677545

0.3007070134108475,-0.03290208321174234,0.2587938613892886,0.13633411097824763

0.39495981524091794,0.047778532143958045,0.13329415973978945,0.15766629735141477

0.3243757127525944,0.013229967359370062,0.08756447673506665,0.18535873641681258

0.35638929230394345,-0.05669792069893099,-0.001282730115917429,0.1901223236786464

0.484123788160954,0.08181819020038562,-0.053916155974314144,0.20692501735828267

0.48071643924723406,0.2863090942431169,-0.13691879342599766,0.19871200974907718

0.379425238032777,0.3349290554803017,-0.16674512504461692,0.10817479520300792

0.37551529081732793,0.24002348447489505,-0.09993418891055776,0.0626116394111883

0.12886733242322737,-0.09168424245560185,0.15330948324171845,0.09066499763014613

