Delta,Theta,Alpha,Beta
0.8460734193686282,0.1979585062361531,0.14859094448052185,-0.20978456626897665
1.144549997098313,0.850682256776877,0.7958087967308924,0.31465337957549067
1.3162826566089165,1.0769331840280438,0.9826081183987492,0.480665045948942
1.225084343762512,0.9659836801470382,0.8444886581369934,0.4171799384534345
0.8122620855537047,0.5838746297519013,0.5316578878876359,0.3605881447325316
0.5237468573952068,0.5303671724858645,0.6042825275594915,0.4612412607530706
0.1981626485692906,0.5432868828978581,0.6737736904070527,0.4015049462568315
0.3149876974402433,0.38145685400116475,0.519062527124509,0.23359118122155753
0.17751912340443884,0.2705828629405091,0.37896494812826886,0.16218247240148995
0.2631399597642788,0.30943601178137825,0.25512141644514175,0.13925481534556106
0.18217420224538583,0.37244446709137924,0.2295967007939898,0.20738196033869757
-0.0669601276249008,0.28960677313028865,0.3878054305163918,0.1488946641822654
-0.08601744516585014,0.26171975488682225,0.36014139806474843,-0.0015362338325625652
-0.08713143883431407,0.3310749080703876,0.26608318930889013,-0.010527006732907997
-0.03610927657245278,0.24730654649812803,0.11763398230972112,0.06464525063587542
-0.07643583990492976,0.12096231433581028,-0.2124661894711629,0.045664224171956085
0.23251835984402835,-0.10277877101720925,-0.11298497290934104,0.0027475898992587967
0.22194773954909616,-0.15971591776565697,0.09451860652437837,0.011645776641212871
0.16989630515693527,0.06858800880849901,0.056958801585434995,-0.032942042519022635
0.060210193462072056,0.12878354773244557,-0.0930483981580602,-0.11911924276687769
-0.04138621546726036,0.03135737900642352,-0.01990596245746583,-0.09801745812594209
0.017533758836949333,0.07684967705761696,-0.020237991510670877,-0.058201897152356546
-0.09380860112323465,0.08649646562895047,-0.12054887781985894,0.02140192101052061
0.7755202633300814,0.5586113291081759,0.2033603767763646,0.056911522364624156
1.195299088536347,1.1127508857263275,0.6411681646790095,0.05234150600127926
1.3427681137559262,1.281294595263119,0.7351243112479611,0.04772213382556428
1.243360822378352,1.1351847339432821,0.5224066052999261,-0.04231100649117326
1.1355221561827684,0.7822840866174765,0.35307746903105414,-0.024582867530962126
0.9649455995155635,0.7522818830940609,0.4935239454531533,0.053730756377971596
1.0039878903270896,0.7365754357307307,0.5844332196464106,0.06773623664153615
0.9135433574860478,0.6815418191679417,0.49585632072737945,0.06875131706181625
0.3327339191210188,0.3476314564717693,0.2975637487499018,0.0011314662264192096
0.498472870604929,0.08068326231914896,0.1259986032564228,-0.00826429190629747
0.8404472588462858,0.8677616935479753,0.4583406220361727,0.07167163164624894
1.2483551955926948,1.2451664961179327,0.7701848326999987,0.25164960414803156
1.2842010581781085,1.2722504642445092,0.7538844638780526,0.22235162108688397
1.1487863750651364,0.9675142808196956,0.41674345263409546,0.08646107244210495
